id,price,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,category,subcategory,language
43441,99.99,8658,4.5277777,1486,371,14,179,Finance & Accounting,Financial Modeling & Analysis,English
42785,49.99,924,4.4,166,57,88,,Design,Design Tools,English
43252,64.99,290,4.6,31,9,16,100,Health & Fitness,General Health,English
42983,49.99,2400,4.4,356,83,80,422,Office Productivity,Other Office Productivity,English
43817,94.99,2641,4,211,60,36,,Development,Software Testing,English
43718,169.99,49076,4.328302,9992,1706,110,1043,Development,Programming Languages,English
43451,19.99,216,4.2,36,13,41,239,Business,Management,Spanish
43540,124.99,58350,4.6457143,4594,649,210,1173,Teaching & Academics,Humanities,English
42787,19.99,213,4.05,49,21,24,393,Business,Business Analytics & Intelligence,Spanish
43842,19.99,687,3.55,54,20,13,109,Business,Project Management,English
43771,29.99,106,4.7222223,9,3,57,154,Health & Fitness,Yoga,English
43884,49.99,1367,4.05,58,18,115,562,Office Productivity,Other Office Productivity,English
43889,19.99,1212,3.65,38,11,39,171,Teaching & Academics,Language Learning,English
43897,0,8100,4.8,407,39,10,127,Office Productivity,Other Office Productivity,English
43978,29.99,4306,4.4903846,792,118,29,232,Teaching & Academics,Social Science,English
44065,19.99,1935,4.15,39,14,8,67,Business,Communication,English
43256,149.99,6075,4.85,536,180,87,null,Office Productivity,Apple,English
44058,0,88156,4.3095236,5292,996,14,32,Business,Communication,English
44091,19.99,99,4,5,1,9,75,Marketing,Content Marketing,English
44090,0,30827,4.5,1527,353,10,86,Business,Business Strategy,English
44087,0,15168,4.45,387,115,47,183,Teaching & Academics,Teacher Training,English
44635,39.99,614,4.15,100,19,19,,Business,Industry,English
44319,39.99,969,4.7,110,30,7,61,Finance & Accounting,Investing & Trading,English
44834,19.99,9632,4.2,177,50,133,712,Development,Software Testing,English
44689,94.99,29221,4.45,1262,399,27,193,Development,Programming Languages,English
44705,19.99,511,3.9,127,51,37,42,Teaching & Academics,Science,English
44171,39.99,474,3.7,21,7,26,77,Teaching & Academics,Language Learning,English
44267,94.99,4322,4.469977,714,102,26,,Business,Communication,English
44837,39.99,5405,4.3,108,null,42,348,Development,Game Development,English
44836,99.99,8401,4.4310346,828,185,25,278,Finance & Accounting,Investing & Trading,English
44794,29.99,230,4,45,20,43,,Music,Music Fundamentals,Spanish
43677,99.99,4178,4.7,195,45,57,639,Office Productivity,Microsoft,English
44677,34.99,214,4,10,7,30,211,Design,Design Tools,English
44897,19.99,20555,4.45,501,220,33,173,Teaching & Academics,Teacher Training,English
44932,19.99,153,3.5,22,8,26,84,Marketing,Social Media Marketing,Spanish
44873,199.99,30203,4.3,979,253,378,3086,Development,Programming Languages,English
44636,149.99,1591,4.05,311,136,55,529,Office Productivity,Microsoft,Spanish
45006,189.99,9528,4.75,1357,320,207,,Development,Programming Languages,English
45023,0,12124,3.65,61,10,79,367,Development,Game Development,Spanish
44973,19.99,125,4.75,11,8,25,152,Teaching & Academics,Online Education,English
45028,19.99,226,4.6,25,10,11,148,Personal Development,Religion & Spirituality,English
45101,24.99,233,4.25,28,10,11,,Business,Communication,English
45125,24.99,206,4.35,29,8,9,106,Teaching & Academics,Social Science,English
44910,49.99,357,4.3,12,6,44,166,Office Productivity,Microsoft,English
45136,39.99,3111,4.42,327,48,8,,Finance & Accounting,Investing & Trading,English
45139,39.99,1356,4.55,176,38,10,80,Finance & Accounting,Investing & Trading,English
45119,74.99,11209,4.4444447,1229,245,54,,Business,Communication,English
45228,19.99,520,3,9,8,56,352,Marketing,Marketing Fundamentals,English
45303,0,2596,4.2,16,3,14,83,Marketing,Digital Marketing,English
45229,0,69528,4.5625,2697,577,13,,IT & Software,Network & Security,English
45619,0,10929,4.4,312,58,17,191,Business,Project Management,English
45029,19.99,268,4.6,32,19,15,362,Personal Development,Religion & Spirituality,English
45359,19.99,732,4.3,11,7,15,138,Lifestyle,Arts & Crafts,English
45297,199.99,37110,4.3461537,758,317,85,,Marketing,Social Media Marketing,English
45789,49.99,583,4.75,62,36,54,142,Design,Design Tools,English
45415,39.99,3127,4.05,67,37,56,383,Business,Communication,English
45226,99.99,697,4.15,46,14,45,436,Development,Programming Languages,English
45751,19.99,272,4.05,28,9,60,,Teaching & Academics,Language Learning,English
45993,0,11569,4.2,267,82,28,409,Business,Industry,English
45643,399.9,108,4.55,28,3,132,1271,Personal Development,Religion & Spirituality,Portuguese
45826,189.99,610,4,4,4,20,130,Lifestyle,Arts & Crafts,English
46010,19.99,4187,3.65,75,19,5,,Finance & Accounting,Investing & Trading,English
45990,0,25481,4.05,481,166,10,62,Marketing,Content Marketing,English
45551,0,18174,4.05,470,107,8,73,Design,Other Design,English
45962,49.99,67,4.4375,8,2,27,,Health & Fitness,Sports,English
46169,189.99,19260,4.2,907,260,43,290,Teaching & Academics,Language Learning,English
45537,19.99,88,4.8,24,12,37,141,Development,Web Development,Spanish
46018,0,8826,4.15,105,33,19,44,Business,Entrepreneurship,English
46221,29.99,680,3.5,65,24,9,,Photography & Video,Other Photography & Video,English
46257,99.99,8597,4.6527777,2118,513,43,295,Business,Industry,English
46349,19.99,336,4.8,49,26,97,377,Office Productivity,Microsoft,English
46353,24.99,186,3.95,10,6,31,105,Office Productivity,Microsoft,English
46492,199.99,1213,3.75,null,8,60,1403,Marketing,Digital Marketing,English
46182,189.99,24347,4.4,792,233,38,263,Health & Fitness,General Health,English
46352,19.99,367,4,34,11,51,133,Office Productivity,Microsoft,English
45941,149.99,2251,4.3,137,34,75,781,Development,Web Development,English
46013,189.99,2497,4.15,214,82,40,521,Business,Communication,English
46510,19.99,446,4.05,25,8,14,76,Business,Communication,English
46355,24.99,207,4.05,11,5,37,null,Office Productivity,Microsoft,English
46682,39.99,1441,4.1,431,109,51,214,Office Productivity,Microsoft,English
46738,139.99,15427,4.7,1360,302,166,612,Teaching & Academics,Language Learning,English
46538,199.99,12013,4.703125,982,354,49,289,Marketing,Marketing Fundamentals,English
